"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2005 LW3)",Y,,,2460600.5,0.4637,1.439,6.02,59.58,288.68,64.04,2.11,0.5711,2460488.37,630,Y
"       (2005 LX36)",Y,,,2460600.5,0.5754,1.03,32.97,252.73,239.13,246.11,1.62,0.943,2460721.29,382,Y
"       (2005 NE7)",Y,,,2460600.5,0.6468,2.047,9.53,80.27,307.04,186.45,3.37,0.3366,2461116.13,1.07e+03,Y
"       (2005 OX)",Y,,,2460600.5,0.6177,1.331,7.62,323.60,100.47,141.84,2.15,0.6417,2460379.46,561,Y
"       (2005 OD3)",Y,,,2460600.5,0.6032,2.372,16.20,323.72,38.34,81.81,3.80,0.2698,2460297.30,1.33e+03,Y
"       (2005 OE3)",Y,,,2460600.5,0.4285,1.567,25.37,321.02,58.43,256.01,2.24,0.5025,2460807.45,716,Y
"       (2005 QZ151)",Y,,,2460600.5,0.5797,1.938,4.85,20.70,63.20,3.60,3.06,0.3654,2460590.65,985,Y
"       (2005 RC34)",Y,,,2460600.5,0.5132,2.061,10.77,290.93,36.17,167.61,3.12,0.3332,2460097.48,1.08e+03,Y
"       (2005 TP)",Y,,,2460600.5,0.5884,2.279,7.88,86.38,353.71,174.00,3.62,0.2865,2459993.11,1.26e+03,Y
"       (2005 TS15)",Y,,,2460600.5,0.3529,1.26,34.00,16.19,106.09,90.55,1.71,0.6965,2460470.49,517,Y
"       (2005 TF49)",Y,,,2460600.5,0.0254,1.042,24.55,25.70,302.16,24.17,1.07,0.9264,2460574.41,389,Y
"       (2005 TR50)",Y,,,2460600.5,0.4560,1.614,34.05,29.43,49.27,73.18,2.35,0.4806,2460448.22,749,Y
"       (2005 TU50)",Y,,,2460600.5,0.5963,1.426,12.42,22.24,259.61,90.18,2.28,0.5787,2460444.68,622,Y
"       (2005 UR)",Y,,,2453669.5,0.8818,2.249,6.93,20.03,140.48,346.92,4.23,0.2922,2453714.27,1.23e+03,Y
"       (2005 UW6)",Y,,,2460600.5,0.7391,2.048,0.87,334.22,181.26,151.88,3.56,0.3364,2460149.01,1.07e+03,Y
"       (2005 UT64)",Y,,,2460600.5,0.5212,1.821,10.51,161.55,327.45,222.33,2.77,0.401,2460943.83,898,Y
"       (2005 VO5)",Y,,,2460600.5,0.5610,2.009,14.24,100.96,242.05,253.34,3.14,0.3461,2460908.66,1.04e+03,Y
"       (2005 VR7)",Y,,,2460600.5,0.2871,1.083,25.25,254.86,101.08,343.04,1.39,0.8747,2460619.89,412,Y
"       (2005 WD)",Y,,,2460600.5,0.5607,2.308,26.17,227.65,161.05,150.54,3.60,0.2811,2460064.99,1.28e+03,Y
"       (2005 WA1)",Y,,,2460600.5,0.5835,2.009,10.91,246.86,242.11,213.80,3.18,0.3462,2461022.82,1.04e+03,Y
"       (2005 WY55)",Y,,,2460600.5,0.7188,2.492,7.27,247.95,286.43,272.00,4.28,0.2505,2460951.80,1.44e+03,Y
"       (2005 YU3)",Y,,,2460600.5,0.8411,2.552,3.02,2.51,341.49,232.54,4.70,0.2417,2461127.80,1.49e+03,Y
"       (2005 YS8)",Y,,,2453737.5,0.5293,1.697,17.37,56.47,298.21,32.12,2.59,0.4459,2453665.48,807,Y
"       (2006 AR3)",Y,,,2460600.5,0.6364,2.469,4.71,12.29,40.85,318.94,4.04,0.2541,2460762.12,1.42e+03,Y
"       (2006 BX39)",Y,,,2453768.5,0.6375,1.903,14.35,140.43,79.12,339.81,3.12,0.3753,2453822.29,959,Y
"       (2006 BE55)",Y,,,2460600.5,0.4246,1.195,2.40,125.25,126.42,45.36,1.70,0.7542,2460540.35,477,Y
"       (2006 CF)",Y,,,2460600.5,0.6793,2.295,4.66,111.81,268.90,174.79,3.85,0.2836,2459984.08,1.27e+03,Y
"       (2006 CU)",Y,,,2460600.5,0.4540,1.51,3.80,148.71,253.24,68.04,2.20,0.5311,2460472.40,678,Y
"       (2006 CM10)",Y,,,2453783.5,0.7010,2.133,18.31,143.32,92.08,342.95,3.63,0.3164,2453837.39,1.14e+03,Y
"       (2006 CT10)",Y,,,2460600.5,0.6626,2.889,12.89,111.20,30.51,289.81,4.80,0.2007,2460950.17,1.79e+03,Y
"       (2006 DU62)",Y,,,2460600.5,0.7384,1.64,16.45,322.07,71.90,1.79,2.85,0.4694,2460596.68,767,Y
"       (2006 GC1)",Y,,,2460600.5,0.8172,1.707,5.98,196.10,232.91,142.10,3.10,0.442,2460279.01,814,Y
"       (2006 HC2)",Y,,,2460600.5,0.4871,1.71,3.75,198.18,66.66,76.40,2.54,0.4408,2460427.20,817,Y
"       (2006 HD2)",Y,,,2460600.5,0.6013,2.031,4.02,30.19,95.85,167.87,3.25,0.3405,2460107.53,1.06e+03,Y
"       (2006 HT30)",Y,,,2460600.5,0.6184,2.563,1.64,73.56,224.00,153.35,4.15,0.2402,2459961.96,1.5e+03,Y
"       (2006 KK21)",Y,,,2460600.5,0.8703,2.727,12.45,188.92,285.83,48.59,5.10,0.2189,2460378.50,1.64e+03,Y
"       (2006 KD40)",Y,,,2460600.5,0.5129,2.017,21.11,86.68,217.93,133.63,3.05,0.3441,2460212.11,1.05e+03,Y
"       (2006 KN89)",Y,,,2453888.5,0.5316,1.793,5.82,217.65,108.31,337.90,2.75,0.4107,2453942.30,877,Y
"       (2006 LD1)",Y,,,2460600.5,0.7012,2.317,5.95,65.40,276.19,54.71,3.94,0.2794,2460404.74,1.29e+03,Y
"       (2006 ON1)",Y,,,2460600.5,0.6090,2.554,3.50,287.69,51.68,160.89,4.11,0.2414,2459934.13,1.49e+03,Y
"       (2006 PA1)",Y,,,2460600.5,0.5505,2.033,2.43,322.18,85.89,64.37,3.15,0.3399,2460411.10,1.06e+03,Y
"       (2006 RZ)",Y,,,2460600.5,0.6420,2.466,9.01,197.35,221.13,230.11,4.05,0.2545,2461110.96,1.41e+03,Y
"       (2006 RK1)",Y,,,2460600.5,0.5176,1.949,9.57,153.69,131.92,251.44,2.96,0.3624,2460900.08,993,Y
"       (2006 SS134)",Y,,,2460600.5,0.4420,1.171,19.53,9.01,256.12,135.92,1.69,0.7774,2460425.66,463,Y
"       (2006 TA8)",Y,,,2454024.5,0.6944,2.994,21.74,208.04,217.95,354.18,5.07,0.1902,2454055.11,1.89e+03,Y
"       (2006 UO)",Y,,,2460600.5,0.6684,2.82,2.29,25.60,78.17,271.83,4.70,0.2081,2461024.14,1.73e+03,Y
"       (2006 UF17)",Y,,,2460600.5,0.8116,2.477,3.72,47.58,235.80,233.56,4.49,0.2528,2461100.62,1.42e+03,Y
"       (2006 UQ17)",Y,,,2460600.5,0.3809,1.624,1.74,82.09,10.37,218.79,2.24,0.4764,2460896.92,756,Y
"       (2006 VT13)",Y,,,2460600.5,0.6249,2.581,2.11,321.56,44.05,125.64,4.19,0.2376,2460071.78,1.51e+03,Y
"       (2006 WT1)",Y,,,2460600.5,0.6010,2.473,13.69,244.84,170.59,218.68,3.96,0.2535,2461157.95,1.42e+03,Y
"       (2006 WJ3)",Y,,,2460600.5,0.4240,1.751,15.36,232.55,178.55,260.68,2.49,0.4252,2460834.09,847,Y
"       (2007 AC2)",Y,,,2460600.5,0.7436,2.418,9.51,294.36,91.18,273.06,4.22,0.2621,2460932.16,1.37e+03,Y
"       (2007 AV2)",Y,,,2460600.5,0.4741,1.438,12.31,285.82,293.44,57.13,2.12,0.5717,2460500.58,630,Y
"       (2007 AB12)",Y,,,2460600.5,0.7210,2.299,7.81,65.38,283.13,41.74,3.96,0.2827,2460452.88,1.27e+03,Y
"       (2007 BD7)",Y,,,2454129.5,0.4979,1.561,4.84,343.79,219.70,332.48,2.34,0.5052,2454183.99,713,Y
"       (2007 BJ29)",Y,,,2460600.5,0.8256,2.184,11.09,241.96,119.61,192.31,3.99,0.3053,2461149.79,1.18e+03,Y
"       (2007 DY40)",Y,,,2460600.5,0.5932,1.718,5.89,160.14,115.07,255.34,2.74,0.4377,2460839.61,822,Y
