"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2019 CD5)",Y,,,2460600.5,0.6668,2.32,2.54,31.84,212.36,197.36,3.87,0.279,2461183.54,1.29e+03,Y
"       (2019 DD2)",Y,,,2460600.5,0.5119,2.044,36.56,178.95,30.24,326.04,3.09,0.3374,2460701.18,1.07e+03,Y
"       (2019 EN)",Y,,,2460600.5,0.6210,2.178,9.73,192.45,47.29,250.11,3.53,0.3066,2460958.86,1.17e+03,Y
"       (2019 EU2)",Y,,,2460600.5,0.6673,2.432,15.59,198.93,246.46,191.71,4.05,0.2599,2461247.98,1.39e+03,Y
"       (2019 FH)",Y,,,2460600.5,0.7743,1.528,3.86,255.15,152.34,11.63,2.71,0.522,2460578.22,690,Y
"       (2019 GD1)",Y,,,2460600.5,0.8007,2.614,3.56,197.57,237.23,137.43,4.71,0.2332,2460011.25,1.54e+03,Y
"       (2019 GT3)",Y,,,2460600.5,0.6205,2.37,2.34,225.06,69.81,153.44,3.84,0.2702,2460032.62,1.33e+03,Y
"       (2019 HN)",Y,,,2460600.5,0.6356,1.864,34.75,207.39,81.70,31.79,3.05,0.3874,2460518.44,929,Y
"       (2019 HH4)",Y,,,2460600.5,0.3872,1.532,33.86,211.46,150.69,198.97,2.12,0.52,2460910.17,692,Y
"       (2019 JB1)",Y,,,2460600.5,0.7751,2.004,19.92,54.16,288.79,310.19,3.56,0.3473,2460743.92,1.04e+03,Y
"       (2019 KQ5)",Y,,,2460600.5,0.6012,1.689,4.91,246.43,238.68,208.75,2.71,0.4489,2460937.47,802,Y
"       (2019 LG1)",Y,,,2460600.5,0.3594,1.126,18.00,248.78,103.39,92.88,1.53,0.8247,2460487.87,437,Y
"       (2019 LZ1)",Y,,,2460600.5,0.9258,2.233,9.49,220.77,223.21,233.83,4.30,0.2954,2461027.62,1.22e+03,Y
"       (2019 LX4)",Y,,,2460600.5,0.3074,1.462,2.94,269.97,68.70,319.01,1.91,0.5576,2460674.02,646,Y
"       (2019 LH5)",Y,,,2460600.5,0.7058,1.604,3.00,120.69,269.29,202.75,2.74,0.4853,2460924.50,742,Y
"       (2019 LG6)",Y,,,2458645.5,0.7373,2.278,16.90,95.85,260.59,345.42,3.96,0.2866,2458696.38,1.26e+03,Y
"       (2019 MS3)",Y,,,2460600.5,0.7202,2.63,8.61,138.99,231.55,60.88,4.52,0.2311,2460337.08,1.56e+03,Y
"       (2019 NA)",Y,,,2460600.5,0.5686,1.98,7.77,207.23,141.30,304.36,3.11,0.3538,2460757.76,1.02e+03,Y
"       (2019 NA2)",Y,,,2460600.5,0.6364,1.821,33.87,78.83,284.91,22.91,2.98,0.401,2460543.36,898,Y
"       (2019 NE2)",Y,,,2460600.5,0.7291,1.73,8.48,267.88,124.20,92.24,2.99,0.4333,2460387.62,831,Y
"       (2019 NY2)",Y,,,2460600.5,0.4413,1.749,11.35,139.78,199.67,69.99,2.52,0.426,2460436.20,845,Y
"       (2019 NO4)",Y,,,2458675.5,0.6560,1.517,12.81,127.98,269.20,327.23,2.51,0.5273,2458737.65,683,Y
"       (2019 ND7)",Y,,,2460600.5,0.5751,1.148,34.48,297.37,114.75,54.02,1.81,0.8016,2460533.11,449,Y
"       (2019 OO)",Y,,,2460600.5,0.5024,1.635,32.67,132.08,253.02,143.64,2.46,0.4714,2460295.81,764,Y
"       (2019 OT)",Y,,,2460600.5,0.5488,1.712,47.23,302.13,285.40,144.41,2.65,0.4402,2460272.43,818,Y
"       (2019 OM1)",Y,,,2460600.5,0.5983,1.897,6.17,346.66,52.70,334.05,3.03,0.3773,2460669.28,954,Y
"       (2019 OQ2)",Y,,,2460600.5,0.6032,1.448,4.11,200.39,256.85,283.39,2.32,0.5658,2460735.91,636,Y
"       (2019 OY3)",Y,,,2460600.5,0.4728,1.858,48.65,297.42,350.86,26.32,2.74,0.3892,2460532.87,925,Y
"       (2019 PG1)",Y,,,2460600.5,0.5940,2.457,20.38,281.56,13.62,128.59,3.92,0.256,2460098.09,1.41e+03,Y
"       (2019 QT)",Y,,,2460600.5,0.8286,2.218,4.43,236.48,215.01,180.52,4.06,0.2983,2461202.13,1.21e+03,Y
"       (2019 QX)",Y,,,2460600.5,0.6291,2.156,27.15,316.60,119.08,200.50,3.51,0.3113,2461112.84,1.16e+03,Y
"       (2019 QY1)",Y,,,2460600.5,0.4702,1.746,27.42,236.05,156.84,55.14,2.57,0.427,2460471.37,843,Y
"       (2019 QD2)",Y,,,2460600.5,0.4600,1.804,11.96,271.68,18.31,57.36,2.63,0.4068,2460459.49,885,Y
"       (2019 QD6)",Y,,,2460600.5,0.6566,2.815,14.57,35.81,10.88,17.79,4.66,0.2087,2460515.27,1.73e+03,Y
"       (2019 RC)",Y,,,2460600.5,0.5082,2.048,22.89,175.05,202.28,258.30,3.09,0.3363,2460902.94,1.07e+03,Y
"       (2019 RW)",Y,,,2460600.5,0.5835,2.286,4.86,309.46,312.17,191.58,3.62,0.2852,2461191.04,1.26e+03,Y
"       (2019 RU3)",Y,,,2460600.5,0.7760,1.628,34.25,40.09,110.82,133.73,2.89,0.4743,2460318.55,759,Y
"       (2019 RV3)",Y,,,2460600.5,0.6105,2.243,6.97,352.20,126.06,162.19,3.61,0.2935,2460047.85,1.23e+03,Y
"       (2019 SH)",Y,,,2458744.5,0.4748,1.217,45.13,179.15,273.02,314.50,1.80,0.7338,2458806.51,491,Y
"       (2019 TP1)",Y,,,2460600.5,0.2693,1.296,25.22,12.04,126.30,41.74,1.64,0.6682,2460538.03,539,Y
"       (2019 UO)",Y,,,2460600.5,0.6380,2.652,5.70,277.60,184.96,39.01,4.34,0.2282,2460429.59,1.58e+03,Y
"       (2019 UC4)",Y,,,2460600.5,0.6451,2.485,8.60,249.61,203.69,80.92,4.09,0.2515,2460278.80,1.43e+03,Y
"       (2019 UT6)",Y,,,2460600.5,0.5045,1.589,2.40,84.86,44.41,138.85,2.39,0.492,2460318.29,732,Y
"       (2019 UO9)",Y,,,2460600.5,0.5805,1.912,5.49,7.55,148.46,261.96,3.02,0.3727,2460863.56,966,Y
"       (2019 US10)",Y,,,2460600.5,0.3854,1.453,26.94,43.25,304.15,331.75,2.01,0.5629,2460650.69,640,Y
"       (2019 UN12)",Y,,,2460600.5,0.8460,2.257,5.19,222.59,301.75,148.27,4.17,0.2908,2460090.56,1.24e+03,Y
"       (2019 VD2)",Y,,,2460600.5,0.7355,1.972,33.50,38.77,257.10,301.65,3.42,0.356,2460764.38,1.01e+03,Y
"       (2019 VL4)",Y,,,2460600.5,0.8401,2.038,10.30,260.16,288.01,223.59,3.75,0.3388,2461003.11,1.06e+03,Y
"       (2019 VF6)",Y,,,2460600.5,0.4392,1.23,14.91,102.17,89.18,137.01,1.77,0.7226,2460410.88,498,Y
"       (2019 VG6)",Y,,,2460600.5,0.4137,1.513,8.60,304.32,219.19,154.55,2.14,0.5294,2460308.55,680,Y
"       (2019 WF3)",Y,,,2460600.5,0.5727,2.335,12.86,296.44,204.19,109.82,3.67,0.2762,2460202.95,1.3e+03,Y
"       (2019 WL4)",Y,,,2460600.5,0.5580,1.193,4.87,186.24,99.92,348.49,1.86,0.7568,2460615.71,476,Y
"       (2019 WW4)",Y,,,2460600.5,0.5530,2.231,9.43,330.69,22.73,178.40,3.46,0.2957,2459997.25,1.22e+03,Y
"       (2019 WX4)",Y,,,2460600.5,0.6272,1.952,29.46,78.33,74.52,257.54,3.18,0.3615,2460883.94,996,Y
"       (2019 WD5)",Y,,,2460600.5,0.5427,1.63,4.75,311.98,228.37,85.05,2.51,0.4736,2460420.92,760,Y
"       (2019 WJ5)",Y,,,2460600.5,0.7440,2.311,5.38,207.66,104.52,167.11,4.03,0.2806,2460005.03,1.28e+03,Y
"       (2019 WQ19)",Y,,,2460600.5,0.5814,1.387,29.99,240.24,272.80,321.53,2.19,0.6035,2460664.24,596,Y
"       (2019 XE1)",Y,,,2460600.5,0.6133,1.936,30.30,291.95,244.93,269.80,3.12,0.3659,2460846.99,984,Y
"       (2019 XO2)",Y,,,2460600.5,0.3554,1.486,28.54,68.18,342.60,255.87,2.01,0.544,2460791.90,662,Y
"       (2019 XK3)",Y,,,2460600.5,0.7156,2.378,5.59,88.09,232.41,144.26,4.08,0.2688,2460063.89,1.34e+03,Y
"       (2019 XQ3)",Y,,,2460600.5,0.2601,1.237,50.96,88.48,52.18,153.49,1.56,0.7167,2460386.34,502,Y
"       (2019 YZ3)",Y,,,2460600.5,0.5958,1.754,23.38,275.41,257.65,0.92,2.80,0.4244,2460598.33,848,Y
"       (2019 YX6)",Y,,,2458843.5,0.8916,3.514,1.85,317.96,18.22,7.35,6.65,0.1496,2458794.39,2.41e+03,Y
"       (2020 AN3)",Y,,,2460600.5,0.5508,2.165,26.26,294.39,167.73,180.30,3.36,0.3095,2461181.16,1.16e+03,Y
"       (2020 BX)",Y,,,2458866.5,0.4088,1.466,20.95,92.59,130.76,308.32,2.07,0.5553,2458959.55,648,Y
"       (2020 BE1)",Y,,,2460600.5,0.5035,1.715,30.11,103.44,111.72,2.51,2.58,0.4387,2460594.79,821,Y
"       (2020 BJ4)",Y,,,2460600.5,0.6707,2.819,5.62,10.53,199.17,337.95,4.71,0.2083,2460706.39,1.73e+03,Y
"       (2020 BC6)",Y,,,2460600.5,0.7096,1.86,6.30,272.45,98.46,346.44,3.18,0.3885,2460635.42,927,Y
"       (2020 BC8)",Y,,,2460600.5,0.7488,2.313,7.37,318.38,252.85,102.52,4.05,0.2801,2460234.55,1.29e+03,Y
"       (2020 BX12)",Y,,,2460600.5,0.5273,1.6,40.06,132.85,70.51,93.41,2.44,0.4868,2460408.62,740,Y
"       (2020 BF14)",Y,,,2460600.5,0.4752,1.284,36.14,349.26,83.41,141.18,1.89,0.6774,2460392.10,531,Y
"       (2020 BW14)",Y,,,2460600.5,0.6528,2.692,15.99,21.46,28.02,32.94,4.45,0.2231,2460452.87,1.61e+03,Y
"       (2020 BB15)",Y,,,2460600.5,0.4141,1.718,5.31,16.18,177.77,12.90,2.43,0.4377,2460571.02,822,Y
"       (2020 DY1)",Y,,,2460600.5,0.6311,2.539,1.32,279.24,291.23,43.11,4.14,0.2436,2460423.54,1.48e+03,Y
"       (2020 DP2)",Y,,,2460600.5,0.7913,2.632,14.07,150.15,270.95,43.61,4.71,0.2309,2460411.58,1.56e+03,Y
"       (2020 DR2)",Y,,,2460600.5,0.6910,2.283,19.73,168.95,252.56,140.80,3.86,0.2857,2460107.64,1.26e+03,Y
"       (2020 DC3)",Y,,,2460600.5,0.8353,2.01,3.62,16.82,20.06,242.97,3.69,0.3457,2460938.99,1.04e+03,Y
"       (2020 DT3)",Y,,,2460600.5,0.6078,2.25,3.27,207.47,27.94,115.35,3.62,0.2921,2460205.55,1.23e+03,Y
"       (2020 EN)",Y,,,2460600.5,0.5538,2.059,7.75,113.05,300.30,214.33,3.20,0.3335,2461037.26,1.08e+03,Y
"       (2020 FO1)",Y,,,2460600.5,0.8184,2.304,2.87,35.67,262.45,91.98,4.19,0.2818,2460274.05,1.28e+03,Y
"       (2020 FR1)",Y,,,2460600.5,0.6150,1.406,13.12,26.43,255.82,228.15,2.27,0.5909,2460823.65,609,Y
"       (2020 FH2)",Y,,,2460600.5,0.4935,1.816,7.99,55.66,51.89,337.16,2.71,0.4029,2460657.18,894,Y
"       (2020 FR3)",Y,,,2458932.5,0.6475,1.973,8.87,174.62,261.66,24.72,3.25,0.3556,2458862.99,1.01e+03,Y
"       (2020 FW4)",Y,,,2460600.5,0.6947,2.298,5.13,50.19,222.67,95.73,3.89,0.283,2460262.19,1.27e+03,Y
"       (2020 FX4)",Y,,,2460600.5,0.5933,2.448,9.87,155.18,357.23,73.77,3.90,0.2573,2460313.79,1.4e+03,Y
"       (2020 FA5)",Y,,,2460600.5,0.8009,1.915,6.56,39.36,242.15,237.49,3.45,0.3718,2460930.00,968,Y
"       (2020 FO5)",Y,,,2460600.5,0.8899,3.275,7.41,227.20,79.50,267.57,6.19,0.1663,2461156.27,2.16e+03,Y
"       (2020 FM6)",Y,,,2460600.5,0.4938,1.364,14.99,30.46,276.08,255.46,2.04,0.619,2460769.40,582,Y
"       (2020 FZ6)",Y,,,2460600.5,0.7446,2.315,3.25,258.99,32.82,88.19,4.04,0.2799,2460285.42,1.29e+03,Y
"       (2020 GA2)",Y,,,2460600.5,0.4268,1.282,42.98,22.90,93.00,80.56,1.83,0.6794,2460481.91,530,Y
"       (2020 HJ4)",Y,,,2460600.5,0.5766,2.069,1.22,105.20,233.29,122.92,3.26,0.3311,2460229.26,1.09e+03,Y
"       (2020 HD6)",Y,,,2460600.5,0.6369,2.423,8.13,351.40,335.27,24.65,3.97,0.2613,2460506.13,1.38e+03,Y
"       (2020 JV)",Y,,,2460600.5,0.6378,2.253,3.24,280.09,238.66,125.22,3.69,0.2914,2460170.84,1.24e+03,Y
"       (2020 JC3)",Y,,,2460600.5,0.6720,2.464,5.19,259.92,241.84,71.10,4.12,0.2549,2460321.51,1.41e+03,Y
"       (2020 KT2)",Y,,,2460600.5,0.6389,2.453,8.55,106.22,211.44,33.35,4.02,0.2565,2460470.48,1.4e+03,Y
"       (2020 KN3)",Y,,,2460600.5,0.7169,3.052,9.33,199.06,152.02,284.57,5.24,0.1849,2461008.49,1.95e+03,Y
"       (2020 KO3)",Y,,,2460600.5,0.5042,1.866,11.79,122.39,213.43,235.99,2.81,0.3868,2460921.12,931,Y
"       (2020 KR4)",Y,,,2460600.5,0.9047,1.833,14.95,80.15,314.76,249.59,3.49,0.3971,2460878.54,907,Y
"       (2020 KG6)",Y,,,2460600.5,0.8310,1.13,22.45,264.06,134.98,143.56,2.07,0.8203,2460425.49,439,Y
"       (2020 LG1)",Y,,,2460600.5,0.6532,2.785,21.05,137.28,208.34,324.85,4.60,0.2121,2460766.24,1.7e+03,Y
"       (2020 LM1)",Y,,,2459016.5,0.6077,2.39,17.35,75.34,135.10,10.45,3.84,0.2668,2458977.34,1.35e+03,Y
"       (2020 MA3)",Y,,,2460600.5,0.7019,2.51,16.55,69.33,302.74,345.83,4.27,0.2478,2460657.67,1.45e+03,Y
"       (2020 MZ3)",Y,,,2460600.5,0.6566,2.631,5.25,132.99,250.73,343.15,4.36,0.231,2460673.47,1.56e+03,Y
"       (2020 ND)",Y,,,2460600.5,0.5883,2.413,17.42,117.97,214.74,39.71,3.83,0.263,2460449.49,1.37e+03,Y
"       (2020 NK1)",Y,,,2460600.5,0.6472,1.393,45.44,311.08,107.90,171.38,2.29,0.5995,2460314.62,601,Y
"       (2020 OM1)",Y,,,2460600.5,0.2129,1.19,18.58,158.13,18.49,202.28,1.44,0.7591,2460808.27,474,Y
"       (2020 ON3)",Y,,,2460600.5,0.5768,1.713,27.09,127.57,258.09,286.66,2.70,0.4398,2460767.27,819,Y
"       (2020 OP3)",Y,,,2460600.5,0.2703,1.29,29.53,309.02,147.75,177.14,1.64,0.6731,2460337.32,535,Y
"       (2020 PP)",Y,,,2460600.5,0.0882,1.027,14.46,308.01,216.84,176.57,1.12,0.9463,2460413.91,380,Y
"       (2020 PB1)",Y,,,2460600.5,0.5436,2.182,9.29,231.25,177.44,85.62,3.37,0.3059,2460320.58,1.18e+03,Y
"       (2020 PN3)",Y,,,2460600.5,0.7908,2.128,7.25,211.45,233.30,98.85,3.81,0.3174,2460289.06,1.13e+03,Y
"       (2020 PS3)",Y,,,2460600.5,0.7158,2.324,18.80,144.03,93.10,80.42,3.99,0.2781,2460311.36,1.29e+03,Y
"       (2020 PM4)",Y,,,2460600.5,0.4786,1.782,5.50,329.39,311.28,286.43,2.63,0.4144,2460778.04,869,Y
"       (2020 PS4)",Y,,,2460600.5,0.7848,2.147,6.50,10.24,76.83,91.15,3.83,0.3134,2460309.62,1.15e+03,Y
"       (2020 PY4)",Y,,,2460600.5,0.8067,2.531,8.61,142.24,65.70,32.79,4.57,0.2448,2460466.55,1.47e+03,Y
"       (2020 QD)",Y,,,2460600.5,0.7311,2.399,4.00,38.10,40.82,23.42,4.15,0.2653,2460512.25,1.36e+03,Y
"       (2020 QZ3)",Y,,,2460600.5,0.5384,1.923,8.51,192.74,246.74,150.46,2.96,0.3695,2460193.27,974,Y
"       (2020 QH4)",Y,,,2459086.5,0.8602,3.49,55.67,329.96,266.31,7.09,6.49,0.1512,2459039.63,2.38e+03,Y
"       (2020 QQ5)",Y,,,2460600.5,0.6497,2.157,8.10,172.78,86.48,129.86,3.56,0.3112,2460183.14,1.16e+03,Y
"       (2020 QC6)",Y,,,2460600.5,0.5989,2.169,5.97,169.98,249.51,91.57,3.47,0.3085,2460303.71,1.17e+03,Y
"       (2020 QF6)",Y,,,2460600.5,0.6519,2.724,73.64,249.00,145.39,332.87,4.50,0.2192,2460724.27,1.64e+03,Y
"       (2020 QR7)",Y,,,2460600.5,0.5945,2.494,11.78,114.93,339.91,329.74,3.98,0.2503,2460721.40,1.44e+03,Y
"       (2020 RB)",Y,,,2460600.5,0.6948,3.263,59.14,330.11,346.90,253.75,5.53,0.1672,2461235.76,2.15e+03,Y
"       (2020 RC)",Y,,,2460600.5,0.3532,1.553,29.03,342.54,28.90,31.43,2.10,0.509,2460538.76,707,Y
"       (2020 RH7)",Y,,,2460600.5,0.4398,1.518,43.85,3.83,128.55,337.71,2.19,0.527,2460642.79,683,Y
"       (2020 SL1)",Y,,,2460600.5,0.6378,2.517,13.75,275.19,331.88,69.78,4.12,0.2468,2460317.78,1.46e+03,Y
"       (2020 SH2)",Y,,,2460600.5,0.3911,1.305,44.21,359.40,262.08,314.97,1.81,0.6615,2460668.58,544,Y
"       (2020 SE3)",Y,,,2460600.5,0.8500,2.539,11.86,326.13,263.04,16.69,4.70,0.2437,2460532.01,1.48e+03,Y
"       (2020 SP4)",Y,,,2460600.5,0.6575,2.83,12.84,314.03,19.30,315.95,4.69,0.207,2460813.27,1.74e+03,Y
"       (2020 TF)",Y,,,2460600.5,0.3028,1.089,19.22,221.22,271.36,107.17,1.42,0.8676,2460476.97,415,Y
"       (2020 TT)",Y,,,2459129.5,0.6983,1.788,5.89,311.01,297.11,27.54,3.04,0.4122,2459062.70,873,Y
"       (2020 TX2)",Y,,,2460600.5,0.7328,2.407,26.60,12.33,101.41,5.20,4.17,0.2639,2460580.81,1.36e+03,Y
"       (2020 TU5)",Y,,,2460600.5,0.3629,1.59,56.84,42.48,345.12,7.99,2.17,0.4918,2460584.25,732,Y
"       (2020 UF2)",Y,,,2460600.5,0.3057,1.13,3.07,235.60,34.39,186.21,1.48,0.8207,2460812.25,439,Y
"       (2020 UR6)",Y,,,2460600.5,0.4907,1.779,8.10,311.48,161.62,216.46,2.65,0.4154,2460946.02,867,Y
"       (2020 UW6)",Y,,,2460600.5,0.7975,1.707,5.76,204.44,79.28,301.40,3.07,0.4421,2460733.06,814,Y
"       (2020 VM1)",Y,,,2459164.5,0.6111,2.488,45.43,31.37,330.20,7.51,4.01,0.2511,2459134.60,1.43e+03,Y
"       (2020 WG)",Y,,,2460600.5,0.6007,2.51,7.62,32.77,348.85,359.74,4.02,0.2478,2460601.53,1.45e+03,Y
"       (2020 WP1)",Y,,,2460600.5,0.4766,1.768,38.67,247.45,213.16,224.74,2.61,0.4191,2460923.23,859,Y
"       (2020 WT2)",Y,,,2460600.5,0.3060,1.343,23.02,263.21,224.29,149.49,1.75,0.6333,2460364.43,568,Y
"       (2020 WB3)",Y,,,2460600.5,0.6146,2.473,20.51,5.89,29.13,5.02,3.99,0.2535,2460580.67,1.42e+03,Y
"       (2020 WL5)",Y,,,2459186.5,0.6134,2.376,16.82,30.06,334.18,13.21,3.83,0.2691,2459137.39,1.34e+03,Y
"       (2020 WM5)",Y,,,2460600.5,0.7042,2.834,15.64,67.04,316.38,299.46,4.83,0.2066,2460893.56,1.74e+03,Y
"       (2020 WU5)",Y,,,2460600.5,0.1017,1.059,41.48,112.85,84.51,89.12,1.17,0.905,2460502.03,398,Y
"       (2020 XP)",Y,,,2460600.5,0.4987,2.002,3.59,254.19,125.54,144.49,3.00,0.3479,2460185.16,1.03e+03,Y
"       (2020 XQ)",Y,,,2460600.5,0.6523,1.931,16.67,56.03,275.95,184.38,3.19,0.3672,2461078.75,980,Y
"       (2020 XR)",Y,,,2460600.5,0.6125,2.497,13.96,249.70,163.10,351.56,4.03,0.2498,2460634.28,1.44e+03,Y
"       (2020 XL3)",Y,,,2459200.5,0.7946,1.956,1.57,282.09,50.09,19.42,3.51,0.3604,2459146.61,999,Y
"       (2020 XD5)",Y,,,2460600.5,0.5428,1.614,8.60,98.64,115.19,269.92,2.49,0.4808,2460787.86,749,Y
"       (2020 XU6)",Y,,,2460600.5,0.5474,2.216,3.89,164.32,6.66,33.91,3.43,0.2988,2460487.01,1.21e+03,Y
"       (2020 YL1)",Y,,,2460600.5,0.6026,1.982,48.93,283.31,71.22,162.83,3.18,0.3532,2460139.54,1.02e+03,Y
"       (2020 YC3)",Y,,,2460600.5,0.7390,2.209,15.17,132.69,78.75,26.35,3.84,0.3002,2460512.70,1.2e+03,Y
"       (2020 YQ3)",Y,,,2460600.5,0.5855,1.88,4.41,93.18,301.62,188.15,2.98,0.3823,2461049.98,942,Y
"       (2021 AE4)",Y,,,2460600.5,0.1624,1.16,15.78,49.54,172.44,277.96,1.35,0.7893,2460704.44,456,Y
"       (2021 AL6)",Y,,,2460600.5,0.6569,2.436,17.39,251.86,125.98,12.50,4.04,0.2593,2460552.30,1.39e+03,Y
"       (2021 AV7)",Y,,,2460600.5,0.7030,3.072,28.98,153.15,39.67,236.42,5.23,0.183,2461275.65,1.97e+03,Y
"       (2021 AF8)",Y,,,2460600.5,0.5171,2.016,9.71,42.46,168.98,77.52,3.06,0.3444,2460375.44,1.05e+03,Y
"       (2021 BW)",Y,,,2460600.5,0.7203,2.599,28.06,317.62,66.91,340.38,4.47,0.2353,2460683.87,1.53e+03,Y
"       (2021 BF3)",Y,,,2460600.5,0.6154,2.64,1.22,90.60,305.62,327.50,4.26,0.2298,2460741.91,1.57e+03,Y
"       (2021 BM3)",Y,,,2460600.5,0.7014,2.39,19.51,324.89,81.20,15.91,4.07,0.2667,2460540.86,1.35e+03,Y
"       (2021 CJ2)",Y,,,2460600.5,0.7328,1.381,3.94,107.68,261.81,147.03,2.39,0.607,2460358.30,593,Y
"       (2021 CK2)",Y,,,2460600.5,0.6970,2.633,7.83,305.81,134.28,319.07,4.47,0.2307,2460777.89,1.56e+03,Y
"       (2021 CF4)",Y,,,2460600.5,0.7397,1.53,6.68,182.32,96.47,298.23,2.66,0.5207,2460719.12,691,Y
"       (2021 CW4)",Y,,,2460600.5,0.5402,1.757,6.94,204.80,225.05,227.82,2.71,0.4233,2460912.78,850,Y
"       (2021 CD6)",Y,,,2460600.5,0.5575,2.227,15.87,196.18,202.53,59.56,3.47,0.2965,2460399.63,1.21e+03,Y
"       (2021 DC2)",Y,,,2460600.5,0.6865,1.803,5.52,150.06,100.94,154.48,3.04,0.407,2460220.95,885,Y
"       (2021 DH2)",Y,,,2460600.5,0.7583,2.168,5.31,333.04,87.18,66.07,3.81,0.3087,2460386.46,1.17e+03,Y
"       (2021 DM2)",Y,,,2460600.5,0.2869,1.332,21.64,149.30,221.52,275.88,1.71,0.6408,2460731.78,562,Y
"       (2021 EJ4)",Y,,,2460600.5,0.6666,2.7,28.50,140.81,126.14,275.93,4.50,0.2222,2460978.86,1.62e+03,Y
"       (2021 ED5)",Y,,,2460600.5,0.7339,2.615,5.91,182.13,112.65,287.68,4.53,0.233,2460910.84,1.54e+03,Y
"       (2021 FG3)",Y,,,2460600.5,0.7078,2.816,6.85,196.18,69.04,260.48,4.81,0.2086,2461077.53,1.73e+03,Y
"       (2021 GY3)",Y,,,2460600.5,0.6060,1.686,17.03,181.60,278.59,251.65,2.71,0.4501,2460841.22,800,Y
"       (2021 GM4)",Y,,,2460600.5,0.3515,1.523,5.25,295.08,323.98,280.51,2.06,0.5242,2460752.13,687,Y
"       (2021 GB6)",Y,,,2460600.5,0.7441,1.925,6.21,336.15,103.99,143.55,3.36,0.3691,2460211.57,975,Y
"       (2021 GM6)",Y,,,2460600.5,0.6649,2.587,35.67,182.36,122.37,285.78,4.31,0.2369,2460913.86,1.52e+03,Y
"       (2021 GX12)",Y,,,2460600.5,0.3763,1.506,20.66,33.77,49.70,51.05,2.07,0.5333,2460504.78,675,Y
"       (2021 GN16)",Y,,,2460600.5,0.1936,1.189,42.74,211.79,215.02,31.09,1.42,0.7605,2460559.62,473,Y
"       (2021 GP16)",Y,,,2460600.5,0.3166,1.057,15.04,209.52,110.57,6.48,1.39,0.9072,2460593.36,397,Y
"       (2021 HC3)",Y,,,2460600.5,0.6755,1.122,28.40,219.54,132.15,281.73,1.88,0.8298,2460694.82,434,Y
"       (2021 JY)",Y,,,2460600.5,0.5766,1.595,36.16,44.51,76.60,299.67,2.51,0.4892,2460723.82,736,Y
"       (2021 JF6)",Y,,,2460600.5,0.9359,2.463,9.23,10.44,42.50,335.94,4.77,0.2549,2460694.91,1.41e+03,Y
"       (2021 KD)",Y,,,2460600.5,0.1036,1.119,26.02,66.92,235.64,268.13,1.23,0.8325,2460710.85,432,Y
"       (2021 KT1)",Y,,,2460600.5,0.5246,2.118,28.68,69.61,154.31,40.94,3.23,0.3197,2460472.45,1.13e+03,Y
"       (2021 KG10)",Y,,,2460600.5,0.3550,1.519,15.80,271.28,20.64,274.07,2.06,0.5265,2460763.71,684,Y
"       (2021 LD1)",Y,,,2460600.5,0.6470,2.803,39.26,110.83,183.57,250.66,4.62,0.2101,2461121.01,1.71e+03,Y
"       (2021 LL2)",Y,,,2460600.5,0.7142,1.727,3.11,225.41,159.69,144.45,2.96,0.4344,2460267.94,829,Y
"       (2021 MX)",Y,,,2460600.5,0.8827,2.588,18.29,267.20,236.69,298.43,4.87,0.2367,2460860.60,1.52e+03,Y
"       (2021 MG1)",Y,,,2460600.5,0.6533,2.763,24.24,173.93,183.79,241.57,4.57,0.2147,2461152.24,1.68e+03,Y
"       (2021 NT1)",Y,,,2460600.5,0.2549,1.276,24.52,298.14,132.84,343.88,1.60,0.6839,2460624.08,526,Y
"       (2021 NW1)",Y,,,2460600.5,0.5749,2,9.42,84.07,310.93,23.36,3.15,0.3484,2460533.45,1.03e+03,Y
"       (2021 NY1)",Y,,,2460600.5,0.5956,2.454,6.16,174.74,172.11,289.81,3.92,0.2563,2460874.33,1.4e+03,Y
"       (2021 NC5)",Y,,,2459409.5,0.8688,2.293,7.67,141.01,295.20,332.01,4.29,0.2838,2459508.12,1.27e+03,Y
"       (2021 NM8)",Y,,,2460600.5,0.6033,2.423,16.06,306.54,23.84,300.16,3.88,0.2614,2460829.45,1.38e+03,Y
"       (2021 NT14)",Y,,,2460600.5,0.4086,1.559,6.72,41.45,15.08,172.56,2.20,0.5066,2460259.85,711,Y
"       (2021 PT)",Y,,,2460600.5,0.2462,1.225,10.15,152.30,234.00,79.48,1.53,0.7266,2460491.11,495,Y
"       (2021 PH4)",Y,,,2460600.5,0.6496,2.716,6.73,58.11,330.54,240.43,4.48,0.2202,2461143.49,1.63e+03,Y
"       (2021 PC9)",Y,,,2460600.5,0.6679,1.846,11.30,315.44,267.83,127.36,3.08,0.3928,2460276.28,916,Y
"       (2021 PA24)",Y,,,2460600.5,0.6402,2.638,30.48,238.48,156.50,243.64,4.33,0.2301,2461106.20,1.56e+03,Y
"       (2021 PD24)",Y,,,2460600.5,0.3941,1.563,7.28,83.06,357.32,129.91,2.18,0.5044,2460342.93,714,Y
"       (2021 QA6)",Y,,,2460600.5,0.7343,3.494,25.42,98.33,319.58,165.30,6.06,0.1509,2459505.15,2.39e+03,Y
